geneSymbol	ensemblId	geneName	overallScore	literature	genetic_association	clinical	animal_model	genetic_literature	rna_expression
PLCL1	ENSG00000115896	phospholipase C like 1 (inactive)	0.37402012786198036	0.19175150574666544	0.6056471345371961				
ERBB3	ENSG00000065361	erb-b2 receptor tyrosine kinase 3	0.373076711971265	0.15194048198640447	0.6043625692295775				0.07754710463548292
FAS	ENSG00000026103	Fas cell surface death receptor	0.37294926462252687	0.6018745252049219	0.5743077601017675		0.4082280636411937		
NFATC1	ENSG00000131196	nuclear factor of activated T cells 1	0.3704387331080343	0.5492527026893644	0.5818809522662322				
ARAP1	ENSG00000186635	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	0.3701955698207268	0.06535256074324927	0.6056759742200597				
IL21R	ENSG00000103522	interleukin 21 receptor	0.3698397709473025	0.7701806378826805	0.5692174037111007				0.028435703495239818
TTC34	ENSG00000215912	tetratricopeptide repeat domain 34	0.3693897443196526	0.12462581351038234	0.6013867898212658				
CCDC91	ENSG00000123106	coiled-coil domain containing 91	0.36759651936663434		0.6046683616142027				
PRKCB	ENSG00000166501	protein kinase C beta	0.3666321825747727	0.3430791872201141	0.5851450098022415				0.035240924404204864
TREH	ENSG00000118094	trehalase	0.36592244157075554		0.6019146307579016				
CD6	ENSG00000013725	CD6 molecule	0.3655615759570546	0.18410512984073832	0.592115777732972				
CARMIL1	ENSG00000079691	capping protein regulator and myosin 1 linker 1	0.36441389164255633		0.5994331806748892				
DCLRE1B	ENSG00000118655	DNA cross-link repair 1B	0.36203236990332077	0.07599134970145263	0.5917161907651066				
GRHL2	ENSG00000083307	grainyhead like transcription factor 2	0.3613419092129073		0.5933361561314895				0.02087693423562952
MST1	ENSG00000173531	macrophage stimulating 1	0.3604587717962733	0.7940502537047843	0.5532247961670321				
IL4R	ENSG00000077238	interleukin 4 receptor	0.3600208508260228	0.4060516701322294	0.5719043786022954				
GPR174	ENSG00000147138	G protein-coupled receptor 174	0.3589452525306655		0.5904376845865589				
TEAD3	ENSG00000007866	TEA domain transcription factor 3	0.3577702518017598		0.5874978763893289				0.02014042439259975
PARK7	ENSG00000116288	Parkinsonism associated deglycase	0.35765674800054104	0.6109704515996791	0.5577696698946658				
SMAD3	ENSG00000166949	SMAD family member 3	0.3558864638564677	0.5418034426066807	0.5577052341181429				0.027486145455222717
GUCY1A2	ENSG00000152402	guanylate cyclase 1 soluble subunit alpha 2	0.35578755224029424	0.08511031166562696	0.5809879917995944				
TNFSF13B	ENSG00000102524	TNF superfamily member 13b	0.3555343370128038	0.8723277788728913		0.5398804090207652			0.05985853184978092
STAG1	ENSG00000118007	STAG1 cohesin complex component	0.3546772300480449	0.015198269940290528	0.582657198189819				
BAK1	ENSG00000030110	BCL2 antagonist/killer 1	0.35467603678704757	0.09631988009492123	0.5785991548583548				
TESPA1	ENSG00000135426	thymocyte expressed, positive selection associated 1	0.35443677849993677	0.22179341932863977	0.5719319161819955				
CARD9	ENSG00000187796	caspase recruitment domain family member 9	0.35432244382919015	0.10711964856160404	0.5774775328687553				
FDX2	ENSG00000267673	ferredoxin 2	0.35250814750535014		0.5798491356092661				
MYC	ENSG00000136997	MYC proto-oncogene, bHLH transcription factor	0.3512350957076851	0.35984605425337957	0.5539779600776032		0.26031596753729613		
DNASE1L3	ENSG00000163687	deoxyribonuclease 1L3	0.35109027789913194	0.24080979205014852	0.5654763581677668				
NFKB1	ENSG00000109320	nuclear factor kappa B subunit 1	0.3493849951661979	0.8922302358596594	0.524289807901183		0.26147103605275823		
SYTL2	ENSG00000137501	synaptotagmin like 2	0.34820692835589684		0.5727739567133268				
ANXA11	ENSG00000122359	annexin A11	0.34816475511664197	0.02279740491043579	0.5715647146915755				
TPH2	ENSG00000139287	tryptophan hydroxylase 2	0.3477754666167826	0.012158615952232422	0.5714563041171004				
PDE2A	ENSG00000186642	phosphodiesterase 2A	0.3471586242642304	0.05319394479101684	0.5275445283794351	0.16929184016823612			
SIRPG	ENSG00000089012	signal regulatory protein gamma	0.3465932982160992	0.01654922726831635	0.5692921962978854				
